marca,modelo,año,precio,transmisión,rendimiento,combustible,litros
 Honda , Accord ,2018,,Automático,9.9,,
 Mazda , Mazda 6 ,2017," 323,999 ",Automático,14.1,,2.5
 Audi , Q3 ,2017," 449,999 ",Automático,12.7,,2
 Kia , Forte ,2018," 287,999 ",Automático,13.3,,2
 Buick , Envision ,2016," 352,999 ",Automático,12.7,,2
 Toyota , Sienna ,2012," 278,999 ",Automático,9.6,,3.5
 Hyundai , Creta ,2018," 327,999 ",Automático,14.3,,1.6
 Honda , CR-V ,2015," 292,999 ",Automático,9.7,,2.4
 Land Rover , Discovery Sport ,2018," 769,999 ",Automático,9.4,,2
 Honda , Civic ,2016," 317,999 ",Automático,17.5,,1.5
 Toyota , RAV4 ,2014," 311,999 ",Automático,11.9,,2.5
 Chevrolet , Trax ,2020," 377,999 ",Automático,15.2,,1.8
 Mazda , Mazda 2 ,2018," 246,999 ",Automático,18.5,,1.5
 Nissan , Kicks ,2017," 291,999 ",Automático,17.5,,1.6
 Volkswagen , Golf A7 ,2017," 327,999 ",Automático,15.4,,1.4
 Gmc , Sierra ,2016," 753,999 ",Automático,8.2,,6.2
 Mini , Cooper ,2018," 423,999 ",Automático,17.5,,1.5
 Mazda , Mazda 3 ,2016," 260,999 ",Automático,9.8,,2.5
 Honda , CR-V ,2015," 319,999 ",Automático,9.7,,2.4
 Kia , Sportage ,2019," 399,999 ",Automático,12.7,,2
 Chevrolet , Trax ,2016," 235,999 ",Automático,15.2,,1.8
 Hyundai , Elantra ,2019," 280,999 ",Manual,15.6,,2
 Honda , CR-V ,2012," 238,999 ",Automático,8.4,,2.4
 Nissan , Sentra ,2020," 363,999 ",Manual,14.3,,1.8
 Hyundai , Elantra ,2018," 278,999 ",Automático,17.5,,2
 Chevrolet , Aveo ,2019," 224,999 ",Manual,17.5,Gasolina,1.6
 Seat , Toledo ,2018," 285,999 ",Manual,19.2,,
 Audi , TT ,2016," 800,999 ",Automático,11.8,,
 Chevrolet , Silverado 1500 V6 ,2019," 664,999 ",Automático,8.7,,
 Audi , Q3 ,2016," 366,999 ",Automático,12.8,,
 Acura , MDX ,2020," 842,999 ",Automático,10.3,,
 Kia , Sorento ,2016," 325,999 ",Automático,12.8,,
 Kia , Sportage ,2017," 327,999 ",Automático,12.7,Gasolina,2
 Bmw , X3 ,2019," 686,999 ",Automático,12.7,Gasolina,2
 Jeep , Renegade ,2019," 428,999 ",Automático,12.2,Gasolina,1.8
 Nissan , Versa ,2021," 347,999 ",Automático,18.2,Gasolina,1.6
 Audi , Q5 Quattro ,2021," 923,999 ",Automático,11.2,Híbrido,2
 Jeep , Compass ,2018," 419,999 ",Automático,12.3,,2.4
 Chevrolet , Trax ,2019," 323,999 ",Automático,15.2,,1.8
 Nissan , Pathfinder ,2016," 393,999 ",Automático,10.3,,3.5
 Kia , Forte ,2020," 393,999 ",Automático,15.9,,2
 Mazda , CX-5 ,2014," 251,999 ",Automático,14.5,,2
 Infiniti , Q50 ,2018," 497,999 ",Automático,15.4,,3.5
 Seat , Ibiza ,2018," 253,999 ",Manual,15.9,,1.6
 Mazda , Cx-3 ,2017," 286,999 ",Automático,14.9,,2
 Mitsubishi , Montero ,2018," 510,999 ",Automático,9,,3
 Kia , Forte ,2018," 318,999 ",Automático,13.2,13.2,2
 Buick , Enclave ,2015," 331,999 ",Automático,9.3,,3.6
 Mazda , Mazda 3 ,2016," 251,999 ",Manual,8.9,,2.5
 Buick , Encore ,2018," 363,999 ",Automático,13.2,,1.4
 Audi , Q5 Quattro ,2018," 586,999 ",Automático,11.2,,2
 Toyota , Corolla ,2014," 252,999 ",Automático,10.6,,1.8
 Suzuki , Swift ,2020," 320,999 ",Automático,19.2,,1
 Ford , Explorer ,2013," 293,999 ",Automático,10.8,,3.5
 Audi , A1 ,2018," 371,999 ",Manual,15.6,,1.4
 Volvo , V40 ,2017," 446,999 ",Automático,12.3,,2
 Chevrolet , Sonic ,2016," 182,999 ",Manual,14.7,,1.6
 Toyota , Sienna ,2015," 390,999 ",Automático,9.6,,3.5
 Mazda , Mazda 3 ,2016," 284,999 ",Automático,9.8,,2.5
 Mini , Cooper Clubman ,2018," 479,999 ",Automático,13.3,,2
 Mazda , Mazda 3 ,2016," 268,999 ",Automático,9.6,,2
 Kia , Optima ,2018," 340,999 ",Automático,11.9,,2
 Ford , Eco Sport ,2018," 304,999 ",Automático,12.5,,2
 Audi , A5 ,2015," 469,999 ",Automático,10.6,,2
 Jeep , Compass ,2018," 429,999 ",Automático,12.3,,2.4
 Chevrolet , Cavalier ,2018," 240,999 ",Automático,16.7,,1.5
 Suzuki , S-Cross ,2015," 238,999 ",Automático,15.4,,1.6
 Jeep , Wrangler ,2018," 762,999 ",Automático,8.6,,3.6
 Ford , Mustang ,2019," 695,999 ",Automático,11.6,,2.3
 Dodge , Attitude ,2019," 210,999 ",Manual,20.4,,1.2
 Ford , Mustang ,2018," 746,999 ",Manual,8,,5
 Audi , A1 ,2018," 386,999 ",Automático,15.6,,1.4
 Bmw , X3 ,2017," 468,999 ",Automático,12.7,,2
 Kia , Sportage ,2020," 428,999 ",Automático,12.7,,
 Ford , Fiesta ,2016," 279,999 ",Manual,15.2,,1.6
 Nissan , Kicks ,2019," 362,999 ",Automático,17.5,,1.6
 Chevrolet , Aveo ,2018," 190,999 ",Manual,17.5,,1.6
 Kia , Soul ,2019," 375,999 ",Automático,13.2,,2
 Chevrolet , Trax ,2016," 244,999 ",Automático,15.2,,
 Hyundai , Creta ,2017," 330,999 ",Automático,14.3,,
 Seat , Ibiza ,2016," 233,999 ",Manual,15.9,,
 Peugeot , 301 ,2019," 239,999 ",Manual,20.8,,
 Toyota , RAV4 ,2015," 317,999 ",Automático,13.9,,
 Jeep , Grand Cherokee ,2014," 394,999 ",Automático,9.2,,
 Mazda , CX-5 ,2018," 429,999 ",Automático,14.7,,
 Seat , Ibiza ,2019," 276,999 ",Manual,15.9,,
 Mazda , CX-5 ,2018," 399,999 ",Automático,14.5,,
 Ford , Fusion ,2017," 329,999 ",Automático,9.4,,
 Suzuki , Swift ,2017," 240,999 ",Automático,20.4,,
 Chevrolet , Trax ,2015," 233,999 ",Manual,16.9,,
 Nissan , Sentra ,2015," 211,999 ",Automático,5.8,,
 Chevrolet , Aveo ,2020," 233,999 ",Manual,17.5,,
 Hyundai , Tucson ,2018," 403,999 ",Automático,14.5,,
 Toyota , RAV4 ,2019," 597,999 ",Automático,23.3,,
 Chevrolet , Trax ,2017," 258,999 ",Automático,15.2,,
 Mercedes Benz , Clase A ,2015," 342,999 ",Automático,15.4,,
 Honda , Pilot ,2018," 605,999 ",Automático,9.5,,
 Fiat , Uno ,2020," 250,999 ",Manual,11.9,,
 Mazda , CX-5 ,2019," 438,999 ",Automático,14.5,,
 Jac , Frison ,2022," 492,999 ",Manual,22.2,,
 Honda , CR-V ,2016," 318,999 ",Automático,9.7,,
 Chevrolet , Spark ,2017," 165,999 ",Manual,17.9,,
 Ford , Escape ,2016," 295,999 ",Automático,9.8,,
 Nissan , X Trail ,2018," 383,999 ",Automático,13.2,,
 Volkswagen , Jetta A6 ,2017," 260,999 ",Automático,12.7,Gasolina,2
 Kia , Sportage ,2017," 359,999 ",Automático,12.3,Gasolina,2.4
 Kia , Forte ,2018," 301,999 ",Automático,15.9,Gasolina,2
 Volkswagen , Vento ,2021," 275,999 ",Manual,14.3,Gasolina,1.6
 Hyundai , Accent ,2019," 254,999 ",Automático,16.1,Gasolina,1.6
 Toyota , Sienna ,2016," 448,999 ",Automático,9.6,,3.5
 Chevrolet , Cruze ,2017," 245,999 ",Automático,17.2,,1.4
 Mazda , CX-5 ,2017," 379,999 ",Automático,14.7,,2
 Nissan , Sentra ,2018," 241,999 ",Manual,14.3,,1.8
 Chevrolet , Traverse ,2017," 389,999 ",Automático,9.7,,3.6
 Mercedes Benz , Clase Cla ,2017," 461,999 ",Automático,15.4,,1.6
 Kia , Soul ,2017," 301,999 ",Automático,13.2,,2
 Chevrolet , Aveo ,2018," 214,999 ",Automático,16.7,,1.6
 Mazda , Mazda 3 ,2018," 308,999 ",Automático,9.8,,2.5
 Fiat , Uno ,2018," 191,999 ",Manual,14.7,,1.4
 Mitsubishi , Mirage ,2017," 197,999 ",Manual,21.3,,1.2
 Buick , Encore ,2016," 302,999 ",Automático,13.2,,1.4
 Mazda , Mazda 6 ,2020," 461,999 ",Automático,14.1,Gasolina,2.5
 Ford , Fiesta ,2016," 206,999 ",Automático,16.1,,
 Nissan , March ,2021," 297,999 ",Manual,16.1,,
 Mazda , CX-5 ,2018," 462,999 ",Automático,10,,
 Chevrolet , Aveo ,2022," 285,999 ",Manual,17.5,,
 Mini , Cooper S ,2019," 642,999 ",Automático,13.3,,
 Toyota , Corolla ,2015," 250,999 ",Automático,15.9,,
 Audi , A4 ,2017," 484,999 ",Automático,12.7,,2.5
 Renault , Duster ,2018," 238,999 ",Automático,12.7,,2
 Nissan , Kicks ,2018," 323,999 ",Automático,17.5,,1.6
 Chevrolet , Cavalier ,2019," 283,999 ",Automático,16.7,,1.5
 Nissan , Sentra ,2018," 254,999 ",Manual,14.3,,1.8
 Nissan , Sentra ,2017," 214,999 ",Manual,14.3,,
 Suzuki , Jimny ,2021," 471,999 ",Manual,13.2,,1.5
 Volkswagen , Vento ,2020," 246,999 ",Automático,14.3,,
 Ford , Eco Sport ,2016," 247,999 ",Automático,12.5,,
 Volkswagen , Beetle ,2017," 342,999 ",Automático,11.2,,
 Kia , Optima ,2017," 310,999 ",Automático,13.3,,
 Volkswagen , Gol ,2019," 234,999 ",Manual,14.9,,
 Bmw , Serie 3 ,2017," 411,999 ",Automático,12.8,,
 Suzuki , Ignis ,2019," 221,999 ",Manual,5.1,,
 Kia , Forte ,2020," 405,999 ",Automático,15.9,,
 Chevrolet , Aveo ,2018," 220,999 ",Manual,17.5,,
 Volkswagen , Golf A7 ,2017," 345,999 ",Automático,15.9,,
 Hyundai , Grand i10 ,2015," 173,999 ",Manual,17.5,,1.2
 Mini , Cooper ,2017," 371,999 ",Automático,17.5,,
 Nissan , Versa ,2018," 211,999 ",Manual,16.4,,
 Nissan , March ,2017," 210,999 ",Automático,15.2,Gasolina,1.6
 Volkswagen , Beetle ,2018," 422,999 ",Automático,11.2,,2.5
 Chevrolet , Trax ,2016," 243,999 ",Automático,15.2,,1.8
 Kia , Sportage ,2016," 301,999 ",Automático,12.7,,2
 Audi , Q3 ,2018," 467,999 ",Automático,12.8,,1.4
 Chevrolet , Traverse ,2016," 333,999 ",Automático,9.7,,3.6
 Nissan , Sentra ,2019," 261,999 ",Automático,17.2,,1.8
 Mazda , Mazda 2 ,2019," 291,999 ",Automático,18.5,,1.5
 Nissan , NP 300 ,2019," 409,999 ",Manual,9,,2.5
 Ford , Ranger ,2020," 531,999 ",Manual,9.5,Gasolina,2.5
 Kia , Rio ,2016," 211,999 ",Manual,15.6,,
 Renault , Duster ,2018," 243,999 ",Automático,12.3,,
 Seat , Ibiza ,2017," 226,999 ",Manual,17.2,,
 Mazda , CX-5 ,2018," 469,999 ",Automático,10,,
 Mazda , Cx-3 ,2017," 332,999 ",Automático,15.4,,
 Kia , Rio ,2018," 265,999 ",Automático,15.6,,
 Volkswagen , Vento ,2018," 212,999 ",Manual,14.3,,
 Chevrolet , Trax ,2020," 375,999 ",Automático,15.2,,
 Honda , Hr-V ,2019," 415,999 ",Automático,15.2,,
 Peugeot , 208 ,2019," 268,999 ",Manual,16.9,,
 Audi , Q2 ,2019," 578,999 ",Automático,14.9,,
 Kia , Rio ,2019," 288,999 ",Manual,15.6,,
 Mazda , Cx-3 ,2017," 303,999 ",Automático,15.4,,
 Hyundai , Creta ,2020," 417,999 ",Automático,14.3,,
 Kia , Forte ,2018," 280,999 ",Manual,13.2,,
 Jac , J7 ,2022," 411,999 ",Automático,11.1,,
 Kia , Forte ,2018," 245,999 ",Manual,15.9,,
 Nissan , Versa ,2018," 218,999 ",Manual,16.4,,
 Chevrolet , Aveo ,2020," 232,999 ",Manual,17.5,,
 Chevrolet , Onix ,2021," 330,999 ",Automático,16.4,,
 Nissan , Sentra ,2018," 258,999 ",Manual,14.3,,
 Hyundai , Ioniq ,2018," 384,999 ",Automático,28.6,,
 Chevrolet , Sonic ,2017," 224,999 ",Automático,13,,
 Volkswagen , Vento ,2018," 245,999 ",Manual,13.9,,
 Kia , Sportage ,2019," 411,999 ",Automático,7.9,,
 Chevrolet , Aveo ,2017," 194,999 ",Automático,6,,
 Renault , Captur ,2020," 360,999 ",Automático,8.3,,
 Suzuki , Swift ,2017," 248,999 ",Automático,20.4,,
 Seat , Ibiza ,2020," 305,999 ",Manual,15.9,,
 Volkswagen , GTI Golf A7 ,2020," 618,999 ",Automático,14.5,,
 Mazda , Mazda 3 ,2016," 263,999 ",Automático,9.8,Gasolina,2.5
 Ford , Escape ,2015," 252,999 ",Automático,9.8,Gasolina,"2,5"
 Chevrolet , Cruze ,2017," 226,999 ",Automático,17.2,,1.4
 Volkswagen , Beetle ,2019," 485,999 ",Automático,11.2,,2.5
 Toyota , Sienna ,2016," 456,999 ",Automático,9.6,,3.5
 Kia , Sportage ,2017," 331,999 ",Automático,12.7,,
 Mazda , Mazda 3 ,2016," 248,999 ",Manual,15.4,,2
 Dodge , Challenger ,2015," 472,999 ",Automático,7.4,,3.6
 Honda , City ,2018," 285,999 ",Automático,18.2,,1.5
 Seat , Ibiza ,2017," 226,999 ",Manual,15.9,,1.6
 Chevrolet , Beat ,2019," 220,999 ",Manual,18.2,,1.2
 Kia , Forte ,2020," 306,999 ",Manual,15.9,,2
 Kia , Rio ,2018," 294,999 ",Automático,15.6,,
 Mazda , Cx-3 ,2016," 301,999 ",Automático,15.4,,
 Mazda , CX-5 ,2015," 309,999 ",Automático,14.7,,
 Chevrolet , Aveo ,2018," 207,999 ",Manual,17.5,,
 Nissan , Sentra ,2020," 352,999 ",Automático,17.2,,
 Bmw , Serie 1 ,2017," 395,999 ",Automático,13.3,,2
 Toyota , Sienna ,2016,,Automático,9.6,,3.5
 Chevrolet , Trax ,2016," 262,999 ",Automático,15.2,,1.8
 Kia , Sorento ,2016," 321,999 ",Automático,12.8,,2.4
 Mazda , CX-5 ,2015," 286,999 ",Automático,14.5,,2
 Ford , Escape ,2018," 392,999 ",Automático,9.8,,2
 Nissan , Kicks ,2019," 326,999 ",Automático,16.9,,1.6
 Mercedes Benz , Clase Gla ,2018," 460,999 ",Automático,13.5,,1.6
 Chevrolet , Beat ,2021," 261,999 ",Manual,18.2,,1.2
 Bmw , Serie 4 ,2016," 375,999 ",Automático,12.8,,2
 Volkswagen , Vento ,2019," 269,999 ",Manual,13.9,13.9,1.6
 Audi , A4 ,2016," 329,999 ",Automático,11.9,,1.8
 Suzuki , Swift ,2019," 272,999 ",Manual,19.2,,1
 Infiniti , QX60 ,2017," 608,999 ",Automático,14.7,,2.5
 Kia , Rio ,2018," 237,999 ",Manual,15.6,,1.6
 Bmw , Serie 4 ,2016," 402,999 ",Automático,12.8,,2
 Buick , Verano ,2015," 244,999 ",Automático,9.9,,2
 Kia , Forte ,2017," 264,999 ",Automático,13.2,,2
 Seat , Arona ,2019," 350,999 ",Automático,14.3,,1.6
 Bmw , Serie 2 ,2017," 447,999 ",Automático,13.2,,2
 Volkswagen , Polo ,2019," 228,999 ",Manual,14.5,,1.6
 Toyota , RAV4 ,2016," 349,999 ",Automático,13.9,,2.5
 Chevrolet , Sonic ,2016," 257,999 ",Manual,14.7,,1.4
 Mazda , Cx-3 ,2017," 314,999 ",Automático,15.4,,2
 Kia , Sorento ,2018," 382,999 ",Automático,12.8,,2.4
 Mazda , Mazda 2 ,2019," 275,999 ",Automático,18.5,,1.5
 Volkswagen , Jetta A6 ,2018," 268,999 ",Manual,12.3,,2
 Bmw , X5 ,2015," 535,999 ",Automático,7.6,,3
 Seat , Toledo ,2018," 254,999 ",Manual,19.2,,1
 Chevrolet , Sonic ,2017," 203,999 ",Automático,13.3,,1.6
 Volvo , Xc90 ,2016," 606,999 ",Automático,12.7,,2
 Nissan , March ,2018," 228,999 ",Manual,16.1,,1.6
 Hyundai , Ioniq ,2019," 471,999 ",Automático,28.6,,1.6
 Dodge , Journey ,2016," 320,999 ",Automático,8.2,,3.6
 Jeep , Patriot ,2017," 336,999 ",Automático,9.5,,2.4
 Mercedes Benz , Clase Glk ,2015," 385,999 ",Automático,7.4,,3
 Hyundai , Creta ,2017," 275,999 ",Automático,14.3,,1.6
 Kia , Sportage ,2019," 408,999 ",Automático,12.7,,
 Toyota , Prius ,2017," 355,999 ",Automático,31.3,,
 Renault , Stepway ,2018," 218,999 ",Manual,15.2,,
 Nissan , Kicks ,2018," 312,999 ",Automático,16.9,,
 Volkswagen , Amarok ,2020," 803,999 ",Automático,12,,
 Nissan , Versa ,2019," 212,999 ",Manual,15.9,,
 Chevrolet , Tracker ,2021," 462,999 ",Automático,15.2,Gasolina,1.2
 Audi , A1 Sportback ,2018," 371,999 ",Automático,15.6,Gasolina,1.4
 Volkswagen , Jetta A6 ,2018," 292,999 ",Automático,11.8,Gasolina,2.5
 Audi , Q5 Quattro ,2018," 668,999 ",Automático,11.2,Gasolina,2
 Nissan , Versa ,2019," 250,999 ",Manual,16.4,Gasolina,1.6
 Jeep , Cherokee ,2015," 314,999 ",Automático,9.9,Gasolina,2.4
 Volkswagen , Tiguan ,2017," 345,999 ",Automático,14.9,Gasolina,1.4
 Mercedes Benz , Clase Glc ,2019," 728,999 ",Automático,10.6,Gasolina,2
 Bmw , Serie 7 ,2018," 1,224,999 ",Automático,6.1,Gasolina,"4,4"
 Kia , Sorento ,2017," 342,999 ",Automático,12.8,,"2,4"
 Honda , CR-V ,2017," 415,999 ",Automático,9.7,,1.5
 Chevrolet , Sonic ,2016," 190,999 ",Automático,13.3,,1.6
 Nissan , X Trail ,2018," 331,999 ",Automático,13.5,,2.5
 Chevrolet , Malibu ,2016," 264,999 ",Automático,14.7,,1.5
 Mercedes Benz , Clase C ,2016," 863,999 ",Automático,9,,4
 Seat , Toledo ,2018," 230,999 ",Automático,14.7,,1.6
 Nissan , Sentra ,2017," 210,999 ",Manual,14.3,,1.8
 Kia , Optima ,2018," 306,999 ",Automático,13.3,,2.4
 Hyundai , ix35 ,2015," 235,999 ",Manual,11.8,,2
 Honda , CR-V ,2016," 321,999 ",Automático,9.7,,2.4
 Volkswagen , Passat ,2013," 237,999 ",Automático,9.7,,3.6
 Nissan , March ,2019," 254,999 ",Automático,15.2,,1.6
 Mercedes Benz , Clase Cla ,2019," 999,999 ",Automático,10.4,,2
 Toyota , Yaris ,2017," 225,999 ",Manual,17.5,,1.5
 Ford , Eco Sport ,2015," 234,999 ",Automático,12.5,,2
 Ford , Eco Sport ,2018," 291,999 ",Manual,14.9,,1.5
 Jeep , Renegade ,2019," 391,999 ",Automático,12.2,,1.8
 Chevrolet , Cheyenne ,2017," 817,999 ",Automático,7.7,,6.2
 Kia , Sportage ,2016," 294,999 ",Automático,12.7,,2
 Nissan , X Trail ,2019," 459,999 ",Automático,12.7,,
 Volkswagen , Tiguan ,2017," 347,999 ",Automático,14.9,,
 Honda , CR-V ,2017," 377,999 ",Automático,9.7,,
 Chevrolet , Colorado ,2015," 400,999 ",Automático,9.9,,
 Nissan , Versa ,2018," 210,999 ",Manual,16.4,,
 Bmw , X2 ,2019," 656,999 ",Automático,14.3,,
 Seat , Leon ,2020," 384,999 ",Automático,17.9,,
 Audi , A3 ,2019," 485,999 ",Automático,14.3,,
 Nissan , March ,2019," 236,999 ",Automático,15.2,,
 Audi , A4 ,2017," 441,999 ",Automático,15.4,,
 Nissan , Versa ,2020," 309,999 ",Manual,16.4,,
 Mazda , Mazda 3 ,2018," 324,999 ",Automático,9.8,,
 Volkswagen , Vento ,2019," 254,999 ",Automático,14.3,,
 Hyundai , Tucson ,2017," 354,999 ",Automático,14.5,,
 Audi , Q2 ,2020," 682,999 ",Automático,10.9,,
 Mazda , CX-5 ,2019," 506,999 ",Automático,10,,
 Mercedes Benz , Clase Glc ,2020," 879,999 ",Automático,10.6,,
 Chevrolet , Spark ,2018," 209,999 ",Manual,18.9,,
 Kia , Soul ,2018," 355,999 ",Automático,14.7,,
 Buick , Verano ,2015," 257,999 ",Automático,9.9,,
 Volkswagen , Vento ,2018," 225,999 ",Automático,14.3,,
 Toyota , Corolla ,2015," 247,999 ",Automático,15.9,,
 Honda , Civic ,2018," 352,999 ",Automático,16.7,,
 Chevrolet , Trax ,2015," 229,999 ",Automático,15.2,,
 Volkswagen , Jetta A6 ,2018," 265,999 ",Manual,12.3,,
 Kia , Forte ,2020," 405,999 ",Automático,15.9,,
 Mazda , Cx-3 ,2017," 328,999 ",Automático,15.4,,
 Mazda , Mazda 3 ,2018," 330,999 ",Automático,9.8,,
 Nissan , Kicks ,2018," 318,999 ",Automático,5.9,,
 Volkswagen , Gol ,2018," 223,999 ",Manual,17.9,,
 Mazda , Mazda 2 ,2018," 263,999 ",Manual,18.5,,
 Mazda , Mazda 3 ,2016," 270,999 ",Manual,8.9,,
 Volkswagen , Polo ,2020," 299,999 ",Automático,14.5,,
 Honda , Hr-V ,2019," 395,999 ",Automático,15.2,,
 Volkswagen , Tiguan ,2016," 305,999 ",Automático,14.9,,
 Volkswagen , Vento ,2019," 229,999 ",Automático,14.3,,1.6
 Toyota , Sienna ,2013," 385,999 ",Automático,9.6,,3.5
 Chevrolet , Aveo ,2017," 187,999 ",Manual,17.5,,1.6
 Mazda , Cx-3 ,2019," 367,999 ",Automático,15.4,,2
 Volkswagen , Vento ,2017," 197,999 ",Manual,14.3,,1.6
 Mazda , Mazda 3 ,2016," 267,999 ",Automático,9.8,,2.5
 Ford , Fiesta ,2016," 197,999 ",Automático,16.1,,1.6
 Volkswagen , Jetta A6 ,2018," 294,999 ",Automático,11.8,,2.5
 Chevrolet , Aveo ,2020," 231,999 ",Manual,17.5,,1.6
 Bmw , Serie 1 ,2020," 598,999 ",Automático,13.3,,2
 Toyota , Corolla ,2017," 312,999 ",Automático,9.4,,1.8
 Hyundai , Grand i10 ,2020," 250,999 ",Manual,18.2,,1.2
 Dodge , Attitude ,2018," 202,999 ",Manual,20.4,,1.2
 Peugeot , 2008 ,2019," 323,999 ",Manual,6.1,,
 Kia , Sorento ,2016," 366,999 ",Automático,9.8,,
 Buick , Verano ,2015," 255,999 ",Automático,11.2,,
 Volkswagen , Jetta A6 ,2017," 239,999 ",Manual,12.3,,
 Honda , Hr-V ,2016," 282,999 ",Automático,15.2,,
 Acura , ILX ,2018," 411,999 ",Automático,9.8,,
 Dodge , Attitude ,2018," 212,999 ",Manual,20.4,,1.2
 Volkswagen , Jetta A6 ,2016," 239,999 ",Automático,12.7,,2
 Nissan , Versa ,2017," 232,999 ",Automático,18.5,,1.6
 Volkswagen , Gol ,2018," 200,999 ",Manual,14.9,,1.6
 Volkswagen , Up ,2017," 207,999 ",Manual,16.4,,1
 Volkswagen , Vento ,2018," 215,999 ",Manual,14.3,,
 Kia , Forte ,2016," 237,999 ",Automático,15.9,,
 Chevrolet , Trax ,2016," 273,999 ",Automático,15.2,,
 Mercedes Benz , Clase Cla ,2017," 471,999 ",Automático,15.4,,
 Kia , Seltos ,2020," 391,999 ",Manual,14.6,,
 Bmw , Serie 5 ,2018," 576,999 ",Automático,12.3,,
 Mazda , Cx-30 ,2020," 499,999 ",Automático,13.5,,
 Mercedes Benz , Clase C ,2015," 479,999 ",Automático,9.1,,
 Jeep , Renegade ,2018," 412,999 ",Automático,12.2,,
 Hyundai , Accent ,2019," 265,999 ",Automático,16.1,,
 Nissan , Versa ,2020," 324,999 ",Automático,18.2,,
 Nissan , Versa ,2018," 235,999 ",Automático,18.2,,
 Seat , Leon ,2018," 304,999 ",Manual,17.9,,
 Nissan , Versa ,2017," 202,999 ",Manual,16.4,,
 Volkswagen , Tiguan ,2016," 322,999 ",Automático,9.9,,
 Kia , Rio ,2019," 295,999 ",Automático,15.6,,
 Chevrolet , Spark ,2019," 256,999 ",Manual,18.5,,
 Nissan , Versa ,2017," 202,999 ",Manual,16.4,,
 Volkswagen , Polo ,2018," 241,999 ",Automático,14.5,,
 Chevrolet , Aveo ,2020," 249,999 ",Manual,17.5,,
 Mazda , Mazda 3 ,2016," 265,999 ",Automático,9.8,,
 Chevrolet , Camaro ,2018," 673,999 ",Automático,8.9,,
 Chevrolet , Traverse ,2019," 671,999 ",Automático,8.7,,
 Seat , Leon ,2018," 333,999 ",Automático,17.9,,
 Ford , Lobo ,2016," 502,999 ",Automático,7.4,,
 Chevrolet , Aveo ,2018," 212,999 ",Manual,17.5,,
 Jeep , Patriot ,2015," 255,999 ",Automático,11.9,,
 Jeep , Compass ,2019," 435,999 ",Automático,12.7,,
 Nissan , March ,2019," 240,999 ",Automático,15.2,,
 Infiniti , Q70 ,2016," 439,999 ",Automático,9.9,,
 Nissan , Note ,2017," 256,999 ",Automático,16.7,,
 Mitsubishi , Eclipse Cross ,2020," 521,999 ",Automático,13.5,,
 Hyundai , Creta ,2019," 334,999 ",Automático,14.3,,
 Mazda , Cx-3 ,2019," 359,999 ",Automático,15.4,,
 Nissan , Maxima ,2017," 404,999 ",Automático,8.1,,
 Nissan , X Trail ,2015," 294,999 ",Automático,13.2,,
 Hyundai , Grand i10 ,2017," 197,999 ",Automático,16.7,,1.2
 Nissan , NP 300 ,2019," 429,999 ",Manual,9,,2.5
 Bmw , Serie 1 ,2019," 487,999 ",Automático,17.9,,1.5
 Hyundai , Creta ,2020," 388,999 ",Automático,14.3,,1.6
 Kia , Rio ,2018," 239,999 ",Manual,15.6,,1.6
 Mazda , Cx-3 ,2017," 319,999 ",Automático,15.4,,2
 Volkswagen , Passat ,2017," 385,999 ",Automático,10.8,,2
 Mini , Cooper S ,2017," 353,999 ",Automático,13.3,,2
 Kia , Sportage ,2016," 315,999 ",Automático,12.7,,2
 Ford , Explorer ,2013," 321,999 ",Automático,9.3,,4
 Ford , Fiesta ,2016," 202,999 ",Automático,16.1,,
 Jeep , Renegade ,2020," 411,999 ",Automático,12.2,,
 Chevrolet , Spark ,2017," 210,999 ",Manual,18.5,,1.4
 Kia , Rio ,2018," 266,999 ",Manual,15.6,,1.6
 Mazda , CX-5 ,2017," 370,999 ",Automático,9.8,,2.5
 Dodge , Attitude ,2017," 188,999 ",Manual,20.4,,1.2
 Seat , Toledo ,2016," 226,999 ",Automático,15.4,,1.4
 Chevrolet , Trax ,2019," 330,999 ",Automático,15.2,,1.8
 Mercedes Benz , Clase C ,2015," 409,999 ",Automático,11.1,,2
 Nissan , Sentra ,2017," 219,999 ",Manual,14.3,,1.8
 Toyota , Prius ,2017," 312,999 ",Automático,31.3,,1.8
 Ford , Eco Sport ,2016," 246,999 ",Automático,12.5,,2
 Nissan , X Trail ,2016," 301,999 ",Automático,13.2,,2.5
 Kia , Rio ,2018," 244,999 ",Manual,15.6,,1.6
 Bmw , X1 ,2019," 552,999 ",Automático,11.8,,
 Nissan , March ,2017," 199,999 ",Automático,15.2,,
 Mini , Cooper ,2018," 414,999 ",Automático,17.5,,
 Ford , Figo ,2021,,Automático,17.2,,
 Suzuki , Ertiga ,2021," 378,999 ",Automático,15.4,,
 Honda , CR-V ,2013," 268,999 ",Automático,8.4,,
 Nissan , Versa ,2017," 203,999 ",Manual,16.4,,
 Seat , Leon ,2018," 317,999 ",Manual,17.9,,
 Nissan , X Trail ,2021," 651,999 ",Automático,13.2,,
 Volkswagen , Jetta A7 ,2019," 363,999 ",Automático,15.9,,
 Nissan , Sentra ,2021," 381,999 ",Automático,17.2,,
 Audi , A4 ,2018," 458,999 ",Automático,15.4,,
 Mercedes Benz , Clase Glc ,2018," 904,999 ",Automático,10.6,,
 Hyundai , Tucson ,2017," 339,999 ",Automático,14.5,,
