marca,modelo,año,precio,transmisión,rendimiento,combustible,litros,entrega
 Toyota , RAV4 ,2015,317999.0,Automático,13.9,Gasolina,2.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Jeep , Grand Cherokee ,2014,394999.0,Automático,9.2,Gasolina,3.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Mazda , CX-5 ,2018,429999.0,Automático,14.7,Gasolina,2,"{'nombre': 'Domicilio', 'precio': 4619, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Seat , Ibiza ,2019,276999.0,Manual,15.9,Gasolina,1.2,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Mazda , CX-5 ,2018,399999.0,Automático,14.5,Gasolina,2,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Ford , Fusion ,2017,329999.0,Automático,9.4,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 9602, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Suzuki , Swift ,2017,240999.0,Automático,20.4,Gasolina,1,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Chevrolet , Trax ,2015,233999.0,Manual,16.9,Gasolina,1.8,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Nissan , Sentra ,2015,211999.0,Automático,5.8,Gasolina,1.8,"{'nombre': 'Domicilio', 'precio': 5764, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Chevrolet , Aveo ,2020,233999.0,Manual,17.5,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Hyundai , Tucson ,2018,403999.0,Automático,14.5,Gasolina,2,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Toyota , RAV4 ,2019,597999.0,Automático,23.3,Gasolina,2.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Chevrolet , Trax ,2017,258999.0,Automático,15.2,Gasolina,1.8,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Mercedes Benz , Clase A ,2015,342999.0,Automático,15.4,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Honda , Pilot ,2018,605999.0,Automático,9.5,Gasolina,3.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Fiat , Uno ,2020,250999.0,Manual,11.9,Gasolina,1.4,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Mazda , CX-5 ,2019,438999.0,Automático,14.5,Gasolina,2,"{'nombre': 'Domicilio', 'precio': 8281, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Jac , Frison ,2022,492999.0,Manual,22.2,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 8953, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Honda , CR-V ,2016,318999.0,Automático,9.7,Gasolina,2.4,"{'nombre': 'Domicilio', 'precio': 3079, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Chevrolet , Spark ,2017,165999.0,Manual,17.9,Gasolina,1.4,"{'nombre': 'Domicilio', 'precio': 5423, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Ford , Escape ,2016,295999.0,Automático,9.8,Gasolina,2.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Nissan , X Trail ,2018,383999.0,Automático,13.2,Gasolina,2.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Volkswagen , Jetta A6 ,2017,260999.0,Automático,12.7,Gasolina,2,"{'nombre': 'Domicilio', 'precio': 9774, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Kia , Sportage ,2017,359999.0,Automático,12.3,Gasolina,2.4,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Kia , Forte ,2018,301999.0,Automático,15.9,Gasolina,2,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Volkswagen , Vento ,2021,275999.0,Manual,14.3,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Hyundai , Accent ,2019,254999.0,Automático,16.1,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 5737, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Toyota , Sienna ,2016,448999.0,Automático,9.6,Gasolina,3.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Chevrolet , Cruze ,2017,245999.0,Automático,17.2,Gasolina,1.4,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Mazda , CX-5 ,2017,379999.0,Automático,14.7,Gasolina,2,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Nissan , Sentra ,2018,241999.0,Manual,14.3,Gasolina,1.8,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Chevrolet , Traverse ,2017,389999.0,Automático,9.7,Gasolina,3.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Mercedes Benz , Clase Cla ,2017,461999.0,Automático,15.4,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 9871, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Kia , Soul ,2017,301999.0,Automático,13.2,Gasolina,2,"{'nombre': 'Domicilio', 'precio': 14118, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Chevrolet , Aveo ,2018,214999.0,Automático,16.7,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 9447, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Mazda , Mazda 3 ,2018,308999.0,Automático,9.8,Gasolina,2.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Fiat , Uno ,2018,191999.0,Manual,14.7,Gasolina,1.4,"{'nombre': 'Domicilio', 'precio': 9110, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Mitsubishi , Mirage ,2017,197999.0,Manual,21.3,Gasolina,1.2,"{'nombre': 'Domicilio', 'precio': 9412, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Buick , Encore ,2016,302999.0,Automático,13.2,Gasolina,1.4,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Mazda , Mazda 6 ,2020,461999.0,Automático,14.1,Gasolina,2.5,"{'nombre': 'Domicilio', 'precio': 14224, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Ford , Fiesta ,2016,206999.0,Automático,16.1,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Nissan , March ,2021,297999.0,Manual,16.1,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 5845, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Mazda , CX-5 ,2018,462999.0,Automático,10.0,Gasolina,2,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Chevrolet , Aveo ,2022,285999.0,Manual,17.5,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Mini , Cooper S ,2019,642999.0,Automático,13.3,Gasolina,2,"{'nombre': 'Domicilio', 'precio': 10365, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Toyota , Corolla ,2015,250999.0,Automático,15.9,Gasolina,1.8,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Audi , A4 ,2017,484999.0,Automático,12.7,Híbrido,2.5,"{'nombre': 'Domicilio', 'precio': 13842, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Renault , Duster ,2018,238999.0,Automático,12.7,Gasolina,2,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Nissan , Kicks ,2018,323999.0,Automático,17.5,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 6721, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Chevrolet , Cavalier ,2019,283999.0,Automático,16.7,Gasolina,1.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Nissan , Sentra ,2018,254999.0,Manual,14.3,Gasolina,1.8,"{'nombre': 'Domicilio', 'precio': 12359, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Nissan , Sentra ,2017,214999.0,Manual,14.3,Gasolina,1.8,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Suzuki , Jimny ,2021,471999.0,Manual,13.2,Gasolina,1.5,"{'nombre': 'Domicilio', 'precio': 3414, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Volkswagen , Vento ,2020,246999.0,Automático,14.3,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Ford , Eco Sport ,2016,247999.0,Automático,12.5,Gasolina,2,"{'nombre': 'Domicilio', 'precio': 9175, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Volkswagen , Beetle ,2017,342999.0,Automático,11.2,Gasolina,2.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Kia , Optima ,2017,310999.0,Automático,13.3,Gasolina,2,"{'nombre': 'Domicilio', 'precio': 5243, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Volkswagen , Gol ,2019,234999.0,Manual,14.9,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Bmw , Serie 3 ,2017,411999.0,Automático,12.8,Gasolina,1.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Suzuki , Ignis ,2019,221999.0,Manual,5.1,Gasolina,1.2,"{'nombre': 'Domicilio', 'precio': 10537, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Kia , Forte ,2020,405999.0,Automático,15.9,Gasolina,2,"{'nombre': 'Domicilio', 'precio': 5107, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Chevrolet , Aveo ,2018,220999.0,Manual,17.5,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Volkswagen , Golf A7 ,2017,345999.0,Automático,15.9,Gasolina,1.4,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Hyundai , Grand i10 ,2015,173999.0,Manual,17.5,Gasolina,1.2,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Mini , Cooper ,2017,371999.0,Automático,17.5,Gasolina,1.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Nissan , Versa ,2018,211999.0,Manual,16.4,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Nissan , March ,2017,210999.0,Automático,15.2,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 12243, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Volkswagen , Beetle ,2018,422999.0,Automático,11.2,Gasolina,2.5,"{'nombre': 'Domicilio', 'precio': 14273, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Chevrolet , Trax ,2016,243999.0,Automático,15.2,Gasolina,1.8,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Kia , Sportage ,2016,301999.0,Automático,12.7,Gasolina,2,"{'nombre': 'Domicilio', 'precio': 6496, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Audi , Q3 ,2018,467999.0,Automático,12.8,Gasolina,1.4,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Chevrolet , Traverse ,2016,333999.0,Automático,9.7,Gasolina,3.6,"{'nombre': 'Domicilio', 'precio': 6491, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Nissan , Sentra ,2019,261999.0,Automático,17.2,Gasolina,1.8,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Mazda , Mazda 2 ,2019,291999.0,Automático,18.5,Gasolina,1.5,"{'nombre': 'Domicilio', 'precio': 14720, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Nissan , NP 300 ,2019,409999.0,Manual,9.0,Gasolina,2.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Ford , Ranger ,2020,531999.0,Manual,9.5,Gasolina,2.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Kia , Rio ,2016,211999.0,Manual,15.6,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Renault , Duster ,2018,243999.0,Automático,12.3,Gasolina,2,"{'nombre': 'Domicilio', 'precio': 4746, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Seat , Ibiza ,2017,226999.0,Manual,17.2,Gasolina,1.2,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Mazda , CX-5 ,2018,469999.0,Automático,10.0,Gasolina,2,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Mazda , Cx-3 ,2017,332999.0,Automático,15.4,Gasolina,2,"{'nombre': 'Domicilio', 'precio': 3914, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Kia , Rio ,2018,265999.0,Automático,15.6,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 13317, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Volkswagen , Vento ,2018,212999.0,Manual,14.3,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 5581, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Chevrolet , Trax ,2020,375999.0,Automático,15.2,Gasolina,1.8,"{'nombre': 'Domicilio', 'precio': 7384, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Honda , Hr-V ,2019,415999.0,Automático,15.2,Gasolina,1.8,"{'nombre': 'Domicilio', 'precio': 9080, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Peugeot , 208 ,2019,268999.0,Manual,16.9,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Audi , Q2 ,2019,578999.0,Automático,14.9,Gasolina,1.4,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Kia , Rio ,2019,288999.0,Manual,15.6,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 5056, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Mazda , Cx-3 ,2017,303999.0,Automático,15.4,Gasolina,2,"{'nombre': 'Domicilio', 'precio': 3943, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Hyundai , Creta ,2020,417999.0,Automático,14.3,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 7468, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Kia , Forte ,2018,280999.0,Manual,13.2,Gasolina,2,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Jac , J7 ,2022,411999.0,Automático,11.1,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Kia , Forte ,2018,245999.0,Manual,15.9,Gasolina,2,"{'nombre': 'Domicilio', 'precio': 14812, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Nissan , Versa ,2018,218999.0,Manual,16.4,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 12976, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Chevrolet , Aveo ,2020,232999.0,Manual,17.5,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 14964, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Chevrolet , Onix ,2021,330999.0,Automático,16.4,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Nissan , Sentra ,2018,258999.0,Manual,14.3,Gasolina,1.8,"{'nombre': 'Domicilio', 'precio': 4305, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Hyundai , Ioniq ,2018,384999.0,Automático,28.6,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 11665, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Chevrolet , Sonic ,2017,224999.0,Automático,13.0,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 13301, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Volkswagen , Vento ,2018,245999.0,Manual,13.9,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Kia , Sportage ,2019,411999.0,Automático,7.9,Gasolina,2,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Chevrolet , Aveo ,2017,194999.0,Automático,6.0,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 4353, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Renault , Captur ,2020,360999.0,Automático,8.3,Gasolina,2,"{'nombre': 'Domicilio', 'precio': 13180, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Suzuki , Swift ,2017,248999.0,Automático,20.4,Gasolina,1,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Seat , Ibiza ,2020,305999.0,Manual,15.9,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 9777, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Volkswagen , GTI Golf A7 ,2020,618999.0,Automático,14.5,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 4859, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Mazda , Mazda 3 ,2016,263999.0,Automático,9.8,Gasolina,2.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Ford , Escape ,2015,252999.0,Automático,9.8,Gasolina,"2,5","{'nombre': 'Domicilio', 'precio': 10857, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Chevrolet , Cruze ,2017,226999.0,Automático,17.2,Gasolina,1.4,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Volkswagen , Beetle ,2019,485999.0,Automático,11.2,Gasolina,2.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Toyota , Sienna ,2016,456999.0,Automático,9.6,Gasolina,3.5,"{'nombre': 'Domicilio', 'precio': 9310, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Kia , Sportage ,2017,331999.0,Automático,12.7,Gasolina,2.4,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Mazda , Mazda 3 ,2016,248999.0,Manual,15.4,Gasolina,2,"{'nombre': 'Domicilio', 'precio': 6924, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Dodge , Challenger ,2015,472999.0,Automático,7.4,Gasolina,3.6,"{'nombre': 'Domicilio', 'precio': 14545, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Honda , City ,2018,285999.0,Automático,18.2,Gasolina,1.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Seat , Ibiza ,2017,226999.0,Manual,15.9,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Chevrolet , Beat ,2019,220999.0,Manual,18.2,Gasolina,1.2,"{'nombre': 'Domicilio', 'precio': 7444, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Kia , Forte ,2020,306999.0,Manual,15.9,Gasolina,2,"{'nombre': 'Domicilio', 'precio': 9377, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Kia , Rio ,2018,294999.0,Automático,15.6,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Mazda , Cx-3 ,2016,301999.0,Automático,15.4,Gasolina,2,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Mazda , CX-5 ,2015,309999.0,Automático,14.7,Gasolina,2,"{'nombre': 'Domicilio', 'precio': 10219, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Chevrolet , Aveo ,2018,207999.0,Manual,17.5,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 13832, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Nissan , Sentra ,2020,352999.0,Automático,17.2,Gasolina,1.8,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Bmw , Serie 1 ,2017,395999.0,Automático,13.3,Gasolina,2,"{'nombre': 'Domicilio', 'precio': 8317, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Toyota , Sienna ,2016,456999.0,Automático,9.6,Gasolina,3.5,"{'nombre': 'Domicilio', 'precio': 9954, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Chevrolet , Trax ,2016,262999.0,Automático,15.2,Gasolina,1.8,"{'nombre': 'Domicilio', 'precio': 5555, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Kia , Sorento ,2016,321999.0,Automático,12.8,Gasolina,2.4,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Mazda , CX-5 ,2015,286999.0,Automático,14.5,Gasolina,2,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Ford , Escape ,2018,392999.0,Automático,9.8,Gasolina,2,"{'nombre': 'Domicilio', 'precio': 6189, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Nissan , Kicks ,2019,326999.0,Automático,16.9,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 14611, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Mercedes Benz , Clase Gla ,2018,460999.0,Automático,13.5,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 12724, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Chevrolet , Beat ,2021,261999.0,Manual,18.2,Gasolina,1.2,"{'nombre': 'Domicilio', 'precio': 6982, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Bmw , Serie 4 ,2016,375999.0,Automático,12.8,Gasolina,2,"{'nombre': 'Domicilio', 'precio': 4214, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Audi , A4 ,2016,329999.0,Automático,11.9,Gasolina,1.8,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Suzuki , Swift ,2019,272999.0,Manual,19.2,Gasolina,1,"{'nombre': 'Domicilio', 'precio': 14478, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Infiniti , QX60 ,2017,608999.0,Automático,14.7,Gasolina,2.5,"{'nombre': 'Domicilio', 'precio': 12535, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Kia , Rio ,2018,237999.0,Manual,15.6,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Bmw , Serie 4 ,2016,402999.0,Automático,12.8,Gasolina,2,"{'nombre': 'Domicilio', 'precio': 14042, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Buick , Verano ,2015,244999.0,Automático,9.9,Gasolina,2,"{'nombre': 'Domicilio', 'precio': 11903, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Kia , Forte ,2017,264999.0,Automático,13.2,Gasolina,2,"{'nombre': 'Domicilio', 'precio': 11461, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Seat , Arona ,2019,350999.0,Automático,14.3,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 6899, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Bmw , Serie 2 ,2017,447999.0,Automático,13.2,Gasolina,2,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Volkswagen , Polo ,2019,228999.0,Manual,14.5,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 5377, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Toyota , RAV4 ,2016,349999.0,Automático,13.9,Gasolina,2.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Chevrolet , Sonic ,2016,257999.0,Manual,14.7,Gasolina,1.4,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Mazda , Cx-3 ,2017,314999.0,Automático,15.4,Gasolina,2,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Kia , Sorento ,2018,382999.0,Automático,12.8,Gasolina,2.4,"{'nombre': 'Domicilio', 'precio': 12113, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
